questionId,category,state,lengthDiff,correctLength,maxOtherLength,question,optionA,optionB,optionC,optionD,correctAnswer
SC-006,gdlLicensing,SC,34,53,19,"How many passengers can a South Carolina conditional driver carry?","No limit","No more than 2 passengers under 21 for first 6 months","1 passenger","Only family members",B
VT-030,insurance,VT,34,46,12,"What happens if you drive without insurance in Vermont?","Warning only","Fines up to 500 dollars and license suspension","Points only","Small fine",B
WI-030,insurance,WI,34,46,12,"What happens if you drive without insurance in Wisconsin?","Warning only","Fines up to 500 dollars and license suspension","Points only","Small fine",B
WY-006,gdlLicensing,WY,34,53,19,"How many passengers can a Wyoming intermediate driver carry in first 6 months?","No limit","No more passengers than seat belts for first 6 months","1 passenger","Only family members",B
WY-030,insurance,WY,34,46,12,"What happens if you drive without insurance in Wyoming?","Warning only","Fines up to 750 dollars and license suspension","Points only","Small fine",B
CT-034,stateUnique,CT,33,45,12,"What happens to an underage driver's license if they fail a BAC test over 0.02%?","Warning only","45-day suspension plus 1 year IID requirement","Points only","Probation",B
DE-018,cellPhone,DE,33,48,15,"What exceptions exist for Delaware's cell phone law?","None","Emergency calls crime reports and hands-free use","Work calls only","GPS use only",B
GA-040,stateUnique,GA,33,46,13,"What is the penalty for passing a stopped school bus in Georgia?","Fine only","Up to 1000 dollar fine and 6 points on license","Warning","3 points only",B
IL-015,cellPhone,IL,33,49,16,"What activities became prohibited for Illinois drivers in January 2024?","All phone use","Video conferencing and social media while driving","GPS use","Hands-free calls",B
MD-017,cellPhone,MD,33,49,16,"Does Maryland add points for cell phone violations?","No points","Yes 1 point for first and 3 points for subsequent","3 points always","Only for crashes",B
MS-011,gdlLicensing,MS,33,45,12,"What happens if a Mississippi intermediate driver violates curfew?","Warning only","Extended restrictions and possible suspension","Points only","Fine only",B
MO-040,stateUnique,MO,33,55,22,"What should Missouri drivers watch for in rural areas?","Nothing special","Farm equipment wildlife and unmarked railroad crossings","Only on state highways","Nothing different",B
NJ-035,stateUnique,NJ,33,55,22,"What is New Jersey law regarding school buses?","Stop only on same side","Stop in both directions unless divided by raised median","Slow to 25 mph","Stop only if signaled",B
NY-030,insurance,NY,33,45,12,"What happens if you drive without insurance in New York?","Warning only","License and registration revocation and fines","Points only","Small fine",B
NC-011,gdlLicensing,NC,33,45,12,"What happens if a North Carolina provisional driver is convicted of a moving violation?","Warning only","Extended restrictions and possible suspension","Points only","Fine only",B
OK-010,gdlLicensing,OK,33,45,12,"What happens if an Oklahoma intermediate driver commits violations?","Warning only","Extended restrictions and possible suspension","Points only","Fine only",B
RI-040,stateUnique,RI,33,48,15,"What should Rhode Island drivers know about winter driving?","Mild winters","Winters can bring snow and ice requiring caution","Snow is rare","Chains required",B
SD-030,insurance,SD,33,45,12,"What happens if you drive without insurance in South Dakota?","Warning only","Fines and license and registration suspension","Points only","Small fine",B
TN-010,gdlLicensing,TN,33,45,12,"What happens if a Tennessee intermediate driver commits a violation?","Warning only","License revocation for 1 year or until age 18","Points only","Fine only",B
ME-009,gdlLicensing,ME,32,51,19,"Who must supervise a Maine permit holder?","Any licensed driver","Licensed driver 20 or older with 2 years experience","Parent only","Any adult",B
MA-007,gdlLicensing,MA,32,54,22,"After 6 months how many passengers can Massachusetts junior operators carry?","No limit","1 passenger under 18 or any number of immediate family","2 passengers","Same as first 6 months",B
MN-009,gdlLicensing,MN,32,51,19,"Who must supervise a Minnesota permit holder?","Any licensed driver","Licensed driver 21 or older or certified instructor","Parent only","Any adult",B
NV-030,insurance,NV,32,44,12,"What happens if you drive without insurance in Nevada?","Warning only","Fine and license and registration suspension","Points only","Small fine",B
NJ-008,gdlLicensing,NJ,32,51,19,"Who must supervise a New Jersey permit holder?","Any licensed driver","Licensed driver 21 or older with 3 years experience","Parent only","Any adult",B
NC-009,gdlLicensing,NC,32,51,19,"Who must supervise a North Carolina permit holder?","Any licensed driver","Licensed driver 21 or older with 5 years experience","Parent only","Any adult",B
OR-038,stateUnique,OR,32,54,22,"What should Oregon drivers know about mountain passes?","No mountains","Winter conditions may require chains or traction tires","Chains always required","Closed in winter",B
RI-008,gdlLicensing,RI,32,51,19,"Who must supervise a Rhode Island permit holder?","Any licensed driver","Licensed driver 21 or older with 5 years experience","Parent only","Any adult",B
RI-037,stateUnique,RI,32,48,16,"What should Rhode Island drivers know about bridge tolls?","No toll bridges","Some bridges have tolls including Newport Bridge","All bridges free","Only trucks pay",B
VA-029,insurance,VA,32,52,20,"What is unique about Virginia insurance requirements?","Same as other states","Insurance optional if you pay uninsured motorist fee","Always required","No unique features",B
WA-008,gdlLicensing,WA,32,51,19,"Who must supervise a Washington permit holder?","Any licensed driver","Licensed driver 21 or older with 5 years experience","Parent only","Any adult",B
WV-040,stateUnique,WV,32,57,25,"What should West Virginia drivers know about deer?","Not a concern","High deer population with many collisions especially fall","Only in eastern panhandle","Marked crossings only",B
LA-010,gdlLicensing,LA,31,49,18,"What happens if a Louisiana teen accumulates traffic violations?","Warning only","License suspension and required remedial training","Points clear at 18","Fine only",B
MA-009,gdlLicensing,MA,31,50,19,"Who must supervise a Massachusetts permit holder?","Any licensed driver","Licensed driver 21 or older with 1 year experience","Parent only","Any adult",B
MN-018,cellPhone,MN,31,51,20,"Can Minnesota drivers use phones while stopped in traffic?","Yes when stopped","No cannot use handheld even in traffic or at lights","Only for emergencies","Only to make calls",B
MS-012,gdlLicensing,MS,31,49,18,"Can Mississippi issue hardship licenses?","No","Yes for those 14 and older with demonstrated need","Only for farm work","Only after age 16",B
MS-034,stateUnique,MS,31,54,23,"What should Mississippi drivers know about severe weather?","Mild climate","Tornadoes and severe thunderstorms can develop quickly","Only coastal hurricanes","Rare weather events",B
MT-006,gdlLicensing,MT,31,50,19,"How many passengers can a Montana first-year restricted driver carry?","No limit","1 non-family passenger under 18 for first 6 months","2 passengers","Only family members",B
NH-010,gdlLicensing,NH,31,43,12,"What happens if a New Hampshire youth operator commits a violation?","Warning only","20-day suspension for first then 45 then 90","Points only","Fine only",B
NJ-009,gdlLicensing,NJ,31,54,23,"Is driver education required in New Jersey?","No it is optional","Yes 6 hours behind-the-wheel required for all under 18","Only classroom portion","Only for those under 17",B
OK-008,gdlLicensing,OK,31,58,27,"Who must supervise an Oklahoma permit holder?","Any licensed driver","Licensed driver 21 or older or licensed parent or guardian","Licensed driver 25 or older","Any adult",B
SD-012,gdlLicensing,SD,31,49,18,"Can South Dakota issue hardship permits?","No","Yes through the restricted minor's permit program","Only for farm work","Only after age 15",B
SD-034,stateUnique,SD,31,46,15,"What should South Dakota drivers know about winter driving?","Mild winters","Severe winters with blizzards and extreme cold","Snow is rare","Chains required",B
VT-016,cellPhone,VT,31,44,13,"What are the penalties for cell phone violations in Vermont?","25 dollars","Up to 200 dollars first up to 500 subsequent","50 dollars","Warning first",B
WI-010,gdlLicensing,WI,31,43,12,"What happens if a Wisconsin probationary driver violates restrictions?","Warning only","License suspension for 6 months or until 18","Points only","Fine only",B
WI-037,stateUnique,WI,31,50,19,"What should Wisconsin drivers watch for in rural areas?","Nothing special","Farm equipment deer and Amish horse-drawn vehicles","Only near farms","Only during harvest",B
AZ-010,gdlLicensing,AZ,30,48,18,"What happens if you violate graduated license restrictions in Arizona?","Warning only","Fine and possible extension of restricted period","License revocation","Points only",B
AR-023,duiStateLaws,AR,30,47,17,"What can happen if you refuse a chemical test in Arkansas?","No penalty","License suspension and refusal used as evidence","Only a fine","Case is dismissed",B
